,ts_code,open,high,low,close,pre_close,vol,amount,turn,paused,pct_chg,isST
2024-04-10,sh.600519,1628.5325680800,1631.1973629600,1611.6130800000,1614.5325979200,1628.4835828800,2763050,4562853879.7200,0.220000,0,-0.856700,0
2024-04-09,sh.600519,1626.9650416800,1639.0447920000,1624.7900988000,1628.4835828800,1632.8334686400,2558982,4256226332.6000,0.203700,0,-0.266400,0
2024-04-08,sh.600519,1660.5982800000,1661.5779840000,1628.8558704000,1632.8334686400,1680.3001274400,5916659,9907355766.2800,0.471000,0,-2.824900,0
2024-04-03,sh.600519,1698.8067360000,1704.1363257600,1675.3134340800,1680.3001274400,1679.2028589600,2904580,5002390041.8300,0.231200,0,0.065300,0
2024-04-02,sh.600519,1687.0502880000,1689.9796029600,1670.4443052000,1679.2028589600,1686.3938863200,2544925,4360973684.1100,0.202600,0,-0.426400,0
2024-04-01,sh.600519,1675.2840429600,1698.8067360000,1674.0202248000,1686.3938863200,1668.3379416000,2713137,4679371034.9500,0.216000,0,1.082300,0
2024-03-29,sh.600519,1667.1035145600,1676.2637469600,1663.6353624000,1668.3379416000,1667.1035145600,1345655,2290584417.1200,0.107100,0,0.074000,0
2024-03-28,sh.600519,1660.5982800000,1683.1314720000,1658.8348128000,1667.1035145600,1666.4765040000,2464218,4201857059.1800,0.196200,0,0.037600,0
2024-03-27,sh.600519,1670.3953200000,1677.2532480000,1664.5170960000,1666.4765040000,1674.5982501600,1811258,3087792980.3900,0.144200,0,-0.485000,0
2024-03-26,sh.600519,1653.2113118400,1678.0370112000,1653.2113118400,1674.5982501600,1654.7298530400,2806907,4782899074.3400,0.223400,0,1.200700,0
2024-03-25,sh.600519,1664.0664321600,1664.2917640800,1646.4709483200,1654.7298530400,1666.8194004000,2447285,4131446236.9500,0.194800,0,-0.725300,0
2024-03-22,sh.600519,1670.4247111200,1674.3043389600,1653.7403520000,1666.8194004000,1674.3141360000,2545614,4318592818.2200,0.202600,0,-0.447600,0
2024-03-21,sh.600519,1673.4324024000,1684.1111760000,1669.9054680000,1674.3141360000,1674.9019584000,1659597,2839332631.3500,0.132100,0,-0.035100,0
2024-03-20,sh.600519,1668.7886054400,1678.8991507200,1665.7221319200,1674.9019584000,1673.3540260800,1524925,2604543856.3700,0.121400,0,0.092500,0
2024-03-19,sh.600519,1668.4359120000,1685.0320977600,1658.7466394400,1673.3540260800,1673.5891550400,2394753,4093701260.6800,0.190600,0,-0.014000,0
2024-03-18,sh.600519,1680.1923600000,1684.9439244000,1664.5170960000,1673.5891550400,1682.6318229600,2605501,4446059129.6100,0.207400,0,-0.537400,0
2024-03-15,sh.600519,1677.7431000000,1697.2392096000,1677.2532480000,1682.6318229600,1681.7892775200,1783358,3066692399.0500,0.142000,0,0.050100,0
2024-03-14,sh.600519,1684.1111760000,1699.6296873600,1676.7633960000,1681.7892775200,1692.3896748000,1940479,3338768307.9000,0.154500,0,-0.626400,0
2024-03-13,sh.600519,1704.6555688800,1712.5225920000,1685.1888504000,1692.3896748000,1709.5834800000,2649954,4588879420.4700,0.211000,0,-1.005700,0
2024-03-12,sh.600519,1659.5597937600,1713.6002664000,1656.1896120000,1709.5834800000,1660.0986309600,5422654,9393309052.2000,0.431700,0,2.980800,0
2024-03-11,sh.600519,1641.0042000000,1664.3995315200,1639.2211387200,1660.0986309600,1637.5066567200,2989509,5048394347.3700,0.238000,0,1.379700,0
2024-03-08,sh.600519,1646.4513542400,1652.4471427200,1636.1546652000,1637.5066567200,1649.4590455200,2215623,3710678521.7300,0.176400,0,-0.724600,0
2024-03-07,sh.600519,1645.9027200000,1655.5038192000,1643.9433120000,1649.4590455200,1646.4415572000,2159912,3633934773.8600,0.171900,0,0.183300,0
2024-03-06,sh.600519,1656.6794640000,1660.5982800000,1643.9629060800,1646.4415572000,1660.6962504000,2214248,3725582802.2300,0.176300,0,-0.858400,0
2024-03-05,sh.600519,1636.8992402400,1662.5576880000,1632.8530627200,1660.6962504000,1642.2778152000,3623837,6102136582.1200,0.288500,0,1.121500,0
2024-03-04,sh.600519,1644.9230160000,1646.8726269600,1636.1546652000,1642.2778152000,1650.8600222400,2648477,4434401015.2500,0.210800,0,-0.519900,0
2024-03-01,sh.600519,1655.6997600000,1660.5688888800,1642.6501027200,1650.8600222400,1660.5982800000,2686796,4526845398.1500,0.213900,0,-0.586400,0
2024-02-29,sh.600519,1647.4212612000,1662.0678360000,1645.1189568000,1660.5982800000,1647.4212612000,2475833,4184917973.1200,0.197100,0,0.799900,0
2024-02-28,sh.600519,1654.6416796800,1662.1364152800,1640.0342930400,1647.4212612000,1655.2099080000,3186731,5371312846.9600,0.253700,0,-0.470600,0
2024-02-27,sh.600519,1648.8418320000,1658.5604956800,1643.9433120000,1655.2099080000,1660.5786859200,2207985,3718478357.6300,0.175800,0,-0.323300,0
2024-02-26,sh.600519,1673.3344320000,1674.0594129600,1650.8208340800,1660.5786859200,1679.3008293600,2731832,4625594409.3900,0.217500,0,-1.114900,0
2024-02-23,sh.600519,1676.3813114400,1689.3819835200,1665.5163940800,1679.3008293600,1683.5037595200,2730589,4670706949.8900,0.217400,0,-0.249700,0
2024-02-22,sh.600519,1672.8445800000,1688.0397890400,1666.0160431200,1683.5037595200,1682.7983726400,2279361,3905984694.8400,0.181400,0,0.041900,0
2024-02-21,sh.600519,1632.2064580800,1695.8676240000,1628.2680480000,1682.7983726400,1636.1056800000,4615407,7868784081.7000,0.367400,0,2.853900,0
2024-02-20,sh.600519,1662.9103814400,1662.9103814400,1622.9384582400,1636.1056800000,1661.0195527200,3447007,5755266893.4600,0.274400,0,-1.499900,0
2024-02-19,sh.600519,1702.5981904800,1702.6569727200,1653.7403520000,1661.0195527200,1671.3750240000,3697744,6288277979.6200,0.294400,0,-0.619600,0
2024-02-08,sh.600519,1685.1006770400,1689.9894000000,1650.8012400000,1671.3750240000,1676.2637469600,4675654,7953438044.0100,0.372200,0,-0.291600,0
2024-02-07,sh.600519,1646.9118151200,1679.7906813600,1627.8859634400,1676.2637469600,1641.9839040000,5260107,8899606866.7100,0.418700,0,2.087700,0
2024-02-06,sh.600519,1596.9273170400,1651.2714979200,1593.0966744000,1641.9839040000,1596.9273170400,5247204,8740646588.3800,0.417700,0,2.821500,0
